date,district,aqi,pm25,pm10,temperature,humidity,wind_speed,noise_db,water_quality,green_cover,latitude,longitude
2023-01-01,North,137.0,43.5,70.2,8.9,54.6,22.5,70.6,65.6,14.0,37.816588,-122.416482
2023-01-01,South,86.5,31.3,54.1,8.9,54.6,22.5,60.1,78.1,34.9,37.716164,-122.416486
2023-01-01,East,95.9,34.0,50.3,8.9,54.6,22.5,71.5,75.3,17.9,37.768591,-122.357871
2023-01-01,West,66.0,25.0,39.1,8.9,54.6,22.5,65.6,83.2,42.7,37.766745,-122.477536
2023-01-01,Central,62.0,22.0,30.5,8.9,54.6,22.5,47.3,94.9,65.9,37.772173,-122.422662
2023-01-01,Harbor,74.6,27.2,42.9,8.9,54.6,22.5,63.9,64.0,30.7,37.74027,-122.388844
2023-01-02,North,125.0,43.1,68.6,9.8,50.1,16.1,81.7,63.1,16.4,37.813269,-122.42134
2023-01-02,South,82.6,31.5,49.8,9.8,50.1,16.1,66.6,80.4,32.8,37.723432,-122.420765
2023-01-02,East,84.7,27.1,42.8,9.8,50.1,16.1,73.2,76.6,20.7,37.768291,-122.359366
2023-01-02,West,73.4,25.5,43.4,9.8,50.1,16.1,58.0,83.4,43.0,37.765217,-122.478052
2023-01-02,Central,42.5,15.3,26.2,9.8,50.1,16.1,58.0,95.0,63.8,37.768307,-122.420319
2023-01-02,Harbor,52.2,14.5,22.6,9.8,50.1,16.1,60.5,64.8,26.7,37.738487,-122.384803
2023-01-03,North,133.2,45.1,72.9,7.0,72.3,12.4,78.8,59.2,15.1,37.820951,-122.422377
2023-01-03,South,62.8,22.8,32.5,7.0,72.3,12.4,64.0,82.1,38.0,37.719043,-122.424094
2023-01-03,East,108.6,39.8,67.6,7.0,72.3,12.4,74.8,77.6,22.7,37.765245,-122.362559
2023-01-03,West,53.9,18.2,23.3,7.0,72.3,12.4,63.9,84.0,40.3,37.765938,-122.478746
2023-01-03,Central,62.5,28.5,49.6,7.0,72.3,12.4,57.9,87.5,58.7,37.771071,-122.423252
2023-01-03,Harbor,72.6,24.3,40.0,7.0,72.3,12.4,69.8,63.7,28.6,37.735857,-122.396699
2023-01-04,North,118.3,45.5,63.8,6.6,65.6,28.6,69.7,62.7,12.2,37.828514,-122.423286
2023-01-04,South,82.8,27.1,51.0,6.6,65.6,28.6,64.7,81.3,33.9,37.717381,-122.418216
2023-01-04,East,84.4,26.7,40.9,6.6,65.6,28.6,71.8,83.1,19.4,37.769525,-122.358857
2023-01-04,West,75.5,27.8,40.2,6.6,65.6,28.6,66.0,86.9,47.8,37.770733,-122.484898
2023-01-04,Central,24.3,13.7,22.2,6.6,65.6,28.6,55.2,90.3,67.7,37.765572,-122.423579
2023-01-04,Harbor,76.1,26.2,42.6,6.6,65.6,28.6,64.3,64.5,32.5,37.740362,-122.387424
2023-01-05,North,118.4,40.0,64.6,2.3,69.5,12.9,79.1,61.0,14.1,37.818063,-122.421311
2023-01-05,South,96.7,36.4,60.8,2.3,69.5,12.9,62.3,78.9,33.4,37.72097,-122.419294
2023-01-05,East,90.4,32.8,51.8,2.3,69.5,12.9,82.3,84.4,16.9,37.76885,-122.365854
2023-01-05,West,58.3,21.9,38.7,2.3,69.5,12.9,57.7,82.1,38.6,37.769349,-122.48425
2023-01-05,Central,43.1,12.9,23.7,2.3,69.5,12.9,48.1,85.4,69.3,37.76485,-122.424387
2023-01-05,Harbor,103.8,46.1,52.3,2.3,69.5,12.9,63.3,64.5,33.3,37.736053,-122.390981
2023-01-06,North,130.2,42.7,71.7,10.2,66.7,15.7,73.8,68.0,12.6,37.821886,-122.415949
2023-01-06,South,82.8,30.9,46.6,10.2,66.7,15.7,63.0,78.8,34.8,37.719611,-122.411627
2023-01-06,East,125.0,46.2,66.2,10.2,66.7,15.7,66.0,81.4,19.7,37.771921,-122.366978
2023-01-06,West,77.9,29.4,38.1,10.2,66.7,15.7,58.9,86.2,44.1,37.768831,-122.480414
2023-01-06,Central,45.7,16.9,32.9,10.2,66.7,15.7,44.5,90.9,64.4,37.771184,-122.421488
2023-01-06,Harbor,51.5,19.5,37.5,10.2,66.7,15.7,58.1,66.9,28.2,37.739755,-122.394212
2023-01-07,North,149.3,57.3,85.8,7.1,77.3,21.5,77.8,69.0,16.1,37.818814,-122.419734
2023-01-07,South,66.5,26.9,31.3,7.1,77.3,21.5,61.5,81.1,36.9,37.723003,-122.412717
2023-01-07,East,107.7,34.1,60.0,7.1,77.3,21.5,60.7,73.7,22.8,37.77255,-122.362796
2023-01-07,West,47.3,17.1,20.4,7.1,77.3,21.5,53.0,86.4,46.9,37.772435,-122.489165
