complaint_id,date,time,district,category,priority,status,description,resolution_days,latitude,longitude,upvotes
SV-2023-01959,2023-01-01,15:36,Harbor,Safety,Medium,Resolved,Crumbling boundary wall near SmartVille School poses imminent collapse risk.,0.6,37.734341,-122.41872,0
SV-2023-01299,2023-01-01,12:04,Harbor,Roads,Low,Closed,Damaged road markings near Shopping Mall creating a safety hazard.,0.7,37.758025,-122.385237,4
SV-2023-00868,2023-01-01,07:59,Harbor,Garbage,Medium,Closed,Garbage pile blocking pedestrian footpath on Elm Street.,6.1,37.754046,-122.419246,3
SV-2023-01583,2023-01-01,20:01,West,Safety,Low,Resolved,Dangerous intersection at Central Boulevard and Shopping Mall with no traffic signal.,1.1,37.76575,-122.485898,1
SV-2023-01745,2023-01-02,14:12,North,Parks,Low,Closed,Poor maintenance of North Community Park; overgrown grass.,2.1,37.790259,-122.438723,1
SV-2023-01773,2023-01-03,17:16,Harbor,Noise,Low,Resolved,Heavy industrial machinery noise from Harbor factory during quiet hours.,10.7,37.760521,-122.405068,7
SV-2023-01539,2023-01-04,13:50,West,Water Supply,Low,In Progress,Brown discoloured water from taps on Waterfront Road.,,37.754802,-122.468437,0
SV-2023-01635,2023-01-04,08:12,Central,Garbage,High,Resolved,Decomposing waste near Convention Centre causing foul odour.,18.7,37.750998,-122.426366,19
SV-2023-01264,2023-01-04,13:04,East,Electricity,Medium,Resolved,Frequent power fluctuations in East district damaging appliances.,4.5,37.75866,-122.346825,0
SV-2023-01738,2023-01-04,13:29,North,Safety,Critical,In Progress,Abandoned vehicle blocking emergency access lane on Industrial Road.,,37.817428,-122.450404,19
SV-2023-00958,2023-01-05,07:55,East,Parks,Low,Resolved,Overgrown vegetation blocking the main pathway at Fire Station.,15.0,37.754489,-122.359459,1
SV-2023-00615,2023-01-05,11:59,North,Safety,High,In Progress,Abandoned vehicle blocking emergency access lane on Civic Center Way.,,37.788611,-122.417858,32
SV-2023-00401,2023-01-05,07:34,North,Garbage,Critical,Closed,Decomposing waste near City Hall causing foul odour.,1.2,37.841538,-122.422854,4
SV-2023-00790,2023-01-06,11:32,West,Garbage,Critical,Resolved,Overflowing bins near SmartVille School attracting pests and rodents.,7.0,37.763675,-122.451859,51
SV-2023-00606,2023-01-07,08:43,South,Noise,Medium,Resolved,Excessive construction noise at Central Market continues after permitted hours.,4.0,37.72001,-122.409178,3
SV-2023-01257,2023-01-07,14:53,Central,Garbage,Low,Closed,Decomposing waste near Fire Station causing foul odour.,73.7,37.784023,-122.439988,2
SV-2023-01985,2023-01-07,19:57,Harbor,Roads,Low,Resolved,Damaged road markings near Fire Station creating a safety hazard.,29.4,37.720848,-122.3601,1
SV-2023-00226,2023-01-07,11:24,South,Safety,High,Resolved,Crumbling boundary wall near Community Center poses imminent collapse risk.,4.8,37.735011,-122.411735,5
SV-2023-00137,2023-01-07,09:55,North,Parks,Low,In Progress,Broken playground equipment at Fire Station — hazardous for children.,,37.835325,-122.437783,4
SV-2023-01474,2023-01-07,16:03,West,Garbage,Medium,Closed,Garbage not collected for 12 days on Green Lane.,2.5,37.757276,-122.470613,1
SV-2023-01117,2023-01-08,12:50,South,Garbage,Low,Resolved,Illegal dumping of construction waste spotted near SmartVille Station.,9.6,37.713109,-122.422227,0
SV-2023-01022,2023-01-08,18:27,West,Parks,Low,Closed,Broken playground equipment at Shopping Mall — hazardous for children.,6.8,37.744911,-122.49019,0
SV-2023-00526,2023-01-08,15:23,North,Electricity,High,Resolved,Frequent power fluctuations in North district damaging appliances.,3.1,37.812816,-122.431752,9
SV-2023-00530,2023-01-09,10:05,North,Noise,Low,Resolved,Night construction activity near Shopping Mall violating city noise ordinance.,2.2,37.805019,-122.459765,0
SV-2023-01885,2023-01-09,21:05,East,Noise,Low,Resolved,Night construction activity near City Hall violating city noise ordinance.,3.8,37.807041,-122.385891,3
SV-2023-01914,2023-01-09,16:42,South,Water Supply,Medium,Resolved,Visible pipe leakage causing water wastage near Convention Centre.,5.4,37.727241,-122.396222,0
SV-2023-01292,2023-01-11,12:26,North,Noise,Low,Closed,Heavy industrial machinery noise from North factory during quiet hours.,18.9,37.810253,-122.42129,0
SV-2023-01639,2023-01-11,08:21,Harbor,Parks,Low,Resolved,Damaged and unsafe park benches near Harbor Drive.,2.9,37.736893,-122.378504,2
SV-2023-00360,2023-01-12,11:13,South,Roads,Medium,Closed,Collapsed pavement on Main Street blocking one lane of traffic.,5.0,37.737575,-122.400127,33
SV-2023-01668,2023-01-12,08:09,West,Electricity,Medium,Open,Streetlight not working near SmartVille School creating a dark and unsafe area.,,37.759064,-122.451773,6
SV-2023-00715,2023-01-13,11:22,East,Noise,High,In Progress,Night construction activity near Bus Terminal violating city noise ordinance.,,37.755892,-122.37243,5
SV-2023-01537,2023-01-14,18:51,South,Electricity,Low,Resolved,Frequent power fluctuations in South district damaging appliances.,2.2,37.721929,-122.439413,5
SV-2023-00646,2023-01-15,18:07,East,Electricity,High,Resolved,Visible electrical sparks from exposed transformer near Maple Drive.,0.3,37.747493,-122.349119,6
SV-2023-00224,2023-01-15,18:21,Central,Electricity,High,Resolved,Exposed live wiring near Police Station posing a serious electrocution risk.,0.4,37.76866,-122.408828,3
SV-2023-01846,2023-01-16,19:21,East,Noise,High,Resolved,Night construction activity near Central Market violating city noise ordinance.,3.2,37.737539,-122.340324,11
SV-2023-01821,2023-01-16,15:30,Central,Roads,High,Resolved,Road surface severely deteriorated near Tech Park; urgent repair needed.,13.0,37.782801,-122.454602,1
SV-2023-01215,2023-01-16,20:46,South,Roads,Low,In Progress,Road surface severely deteriorated near City Hall; urgent repair needed.,,37.722773,-122.420763,1
SV-2023-00675,2023-01-17,21:31,North,Roads,Low,In Progress,Collapsed pavement on Green Lane blocking one lane of traffic.,,37.778435,-122.417173,5
SV-2023-00306,2023-01-17,08:59,Harbor,Noise,Medium,Closed,Night construction activity near Fire Station violating city noise ordinance.,39.5,37.711887,-122.353969,9
SV-2023-01111,2023-01-17,11:57,South,Safety,Critical,Resolved,Abandoned vehicle blocking emergency access lane on Pine Avenue.,2.9,37.720142,-122.425861,61
SV-2023-00692,2023-01-17,14:42,South,Parks,Low,Resolved,Broken playground equipment at Shopping Mall — hazardous for children.,27.6,37.710356,-122.450732,2
SV-2023-00256,2023-01-17,07:34,East,Roads,Low,Closed,Bridge surface cracking on Central Boulevard near East area.,12.3,37.815485,-122.369556,3
SV-2023-00872,2023-01-17,21:44,North,Roads,High,Open,Large pothole on Waterfront Road causing vehicle damage and safety risk.,,37.790212,-122.437281,0
SV-2023-01777,2023-01-18,19:39,Central,Safety,Critical,Resolved,Dangerous intersection at Main Street and University Campus with no traffic signal.,1.0,37.74056,-122.402577,172
SV-2023-01351,2023-01-19,18:20,South,Electricity,Medium,Closed,Frequent power fluctuations in South district damaging appliances.,1.7,37.744553,-122.444818,0
SV-2023-01574,2023-01-20,15:48,South,Roads,High,Resolved,Bridge surface cracking on Oak Avenue near South area.,0.8,37.736413,-122.43204,42
SV-2023-01350,2023-01-20,19:26,West,Garbage,Low,Resolved,Illegal dumping of construction waste spotted near Tech Park.,33.3,37.80197,-122.488294,2
SV-2023-01743,2023-01-21,08:36,Harbor,Roads,Medium,Resolved,Road surface severely deteriorated near Police Station; urgent repair needed.,5.2,37.693849,-122.391761,7
SV-2023-01058,2023-01-22,11:10,Harbor,Safety,High,Resolved,Dangerous intersection at Park Road and SmartVille Hospital with no traffic signal.,1.6,37.752471,-122.376777,21
SV-2023-01782,2023-01-22,10:56,East,Parks,Low,Closed,Overgrown vegetation blocking the main pathway at SmartVille Hospital.,16.1,37.784764,-122.345288,2
SV-2023-00703,2023-01-23,20:51,South,Electricity,High,Resolved,Visible electrical sparks from exposed transformer near Waterfront Road.,4.1,37.746974,-122.39754,5
SV-2023-01362,2023-01-24,12:39,South,Electricity,High,Resolved,Visible electrical sparks from exposed transformer near Main Street.,4.0,37.707991,-122.433193,17
SV-2023-01103,2023-01-24,19:43,East,Garbage,Medium,In Progress,Garbage not collected for 3 days on Central Boulevard.,,37.750852,-122.374217,1
SV-2023-01645,2023-01-24,15:48,South,Parks,Low,Closed,Poor maintenance of South Community Park; overgrown grass.,12.4,37.713807,-122.426742,0
SV-2023-00568,2023-01-24,12:13,West,Water Supply,Medium,Resolved,Brown discoloured water from taps on Industrial Road.,4.2,37.753697,-122.491768,10
SV-2023-01000,2023-01-24,16:36,Harbor,Noise,Low,Closed,Loud music from commercial venue on Pine Avenue disturbing residents at night.,29.9,37.729382,-122.374803,0
SV-2023-01669,2023-01-25,14:25,South,Electricity,High,Resolved,Visible electrical sparks from exposed transformer near Elm Street.,5.4,37.71683,-122.418506,35
SV-2023-00950,2023-01-25,10:54,West,Garbage,Low,Resolved,Overflowing bins near Police Station attracting pests and rodents.,28.3,37.79128,-122.459107,5
SV-2023-01088,2023-01-25,16:50,East,Electricity,Critical,In Progress,Streetlight not working near Police Station creating a dark and unsafe area.,,37.779184,-122.368726,43
SV-2023-01236,2023-01-26,12:38,Central,Garbage,Critical,Closed,Illegal dumping of construction waste spotted near University Campus.,0.4,37.759546,-122.424645,15
SV-2023-01506,2023-01-26,20:28,North,Water Supply,High,Resolved,Visible pipe leakage causing water wastage near SmartVille School.,3.5,37.83271,-122.398567,31
SV-2023-01303,2023-01-26,20:23,Harbor,Safety,Critical,Closed,Poor street lighting on Green Lane creating safety concerns at night.,0.3,37.736175,-122.368779,17
SV-2023-00799,2023-01-27,11:43,Harbor,Roads,Medium,Resolved,Large pothole on Sunrise Road causing vehicle damage and safety risk.,0.3,37.749415,-122.366044,8
SV-2023-01212,2023-01-27,19:50,Central,Electricity,High,Resolved,Power outage on Industrial Road for 2 hours with no update from utility.,3.9,37.800318,-122.402,9
SV-2023-01794,2023-01-28,19:01,East,Garbage,High,In Progress,Overflowing bins near Community Center attracting pests and rodents.,,37.797876,-122.354236,13
SV-2023-00167,2023-01-28,13:03,East,Garbage,Low,Closed,Illegal dumping of construction waste spotted near City Hall.,14.1,37.774241,-122.346124,0
SV-2023-00884,2023-01-29,14:27,Central,Electricity,High,Closed,Visible electrical sparks from exposed transformer near Harbor Drive.,8.3,37.76,-122.443424,29
SV-2023-01899,2023-01-29,19:43,West,Roads,Low,Resolved,Collapsed pavement on Maple Drive blocking one lane of traffic.,8.5,37.76117,-122.482698,2
SV-2023-01472,2023-01-29,18:38,East,Parks,Medium,In Progress,Overgrown vegetation blocking the main pathway at Police Station.,,37.754206,-122.403282,0
SV-2023-01084,2023-01-29,10:18,North,Roads,Low,Resolved,Street flooding due to blocked drainage on Harbor Drive.,8.0,37.825058,-122.458387,1
SV-2023-00044,2023-01-29,08:56,Harbor,Water Supply,High,Closed,No water supply for 12 hours in Oak Avenue area.,0.4,37.714079,-122.368567,7
SV-2023-00787,2023-01-30,11:16,South,Noise,High,Resolved,Night construction activity near City Hall violating city noise ordinance.,4.8,37.731197,-122.396079,25
SV-2023-01578,2023-01-30,14:38,Harbor,Parks,Medium,Resolved,Damaged and unsafe park benches near Oak Avenue.,40.8,37.737146,-122.398766,4
SV-2023-00800,2023-01-30,08:29,Central,Parks,Low,Resolved,Poor maintenance of Central Community Park; overgrown grass.,32.8,37.752355,-122.364885,1
SV-2023-01131,2023-01-31,12:08,South,Parks,Medium,In Progress,Poor maintenance of South Community Park; overgrown grass.,,37.711865,-122.434208,0
SV-2023-00579,2023-01-31,19:20,Harbor,Noise,Critical,Resolved,Heavy industrial machinery noise from Harbor factory during quiet hours.,0.3,37.754407,-122.376423,45
SV-2023-01714,2023-01-31,12:54,East,Safety,High,Closed,Abandoned vehicle blocking emergency access lane on Harbor Drive.,3.5,37.768781,-122.338549,8
SV-2023-00348,2023-01-31,21:51,Central,Roads,High,Resolved,Street flooding due to blocked drainage on Maple Drive.,5.1,37.771897,-122.444012,22
SV-2023-01932,2023-01-31,10:07,East,Garbage,Low,Resolved,Overflowing bins near Bus Terminal attracting pests and rodents.,21.4,37.764951,-122.385252,0
SV-2023-00745,2023-01-31,08:47,North,Roads,Medium,Open,Road surface severely deteriorated near Community Center; urgent repair needed.,,37.844151,-122.461952,8
SV-2023-01816,2023-02-01,17:28,North,Water Supply,Medium,Closed,Visible pipe leakage causing water wastage near Community Center.,1.2,37.833043,-122.411927,2
SV-2023-01483,2023-02-01,16:02,Harbor,Safety,Critical,Closed,Stray dogs attacking pedestrians near University Campus.,1.6,37.749153,-122.393397,102
SV-2023-00610,2023-02-01,12:24,West,Safety,Medium,Resolved,Poor street lighting on Green Lane creating safety concerns at night.,19.1,37.782069,-122.499293,6
SV-2023-00340,2023-02-01,13:54,East,Parks,Medium,In Progress,Broken playground equipment at Grand Library — hazardous for children.,,37.749179,-122.38759,3
SV-2023-01768,2023-02-01,08:20,North,Parks,Medium,Resolved,Broken playground equipment at Tech Park — hazardous for children.,0.7,37.827829,-122.427092,9
SV-2023-00002,2023-02-02,07:05,South,Electricity,High,Resolved,Exposed live wiring near Tech Park posing a serious electrocution risk.,0.3,37.725023,-122.401811,22
